iter	MultiClass
0	1.449255105
1	1.232463025
2	1.08123543
3	0.9675836592
4	0.8689655736
5	0.7910885839
6	0.7307813574
7	0.6847119027
8	0.6463552661
9	0.615944511
10	0.5773038415
11	0.5512362697
12	0.5241818469
13	0.5041294269
14	0.4863746343
15	0.4681359915
16	0.4518507379
17	0.4374424431
18	0.4241246123
19	0.4138987382
20	0.405661703
21	0.3968812741
22	0.3891946555
23	0.3781977292
24	0.372482534
25	0.3659952108
26	0.356102089
27	0.3481969013
28	0.3401656378
29	0.3336262214
30	0.3283215371
31	0.3235163012
32	0.3191297001
33	0.3132822024
34	0.3089001828
35	0.3062697094
36	0.3009264133
37	0.29437951
38	0.2912048221
39	0.2876201912
40	0.2841373838
41	0.2798273035
42	0.2772768283
43	0.2726453208
44	0.2690269393
45	0.267221125
46	0.2655150141
47	0.2633816321
48	0.2622556704
49	0.2583502462
50	0.2555064394
51	0.2519189555
52	0.248930849
53	0.2465648096
54	0.245190658
55	0.2434700771
56	0.2405098038
57	0.2372579725
58	0.2355639876
59	0.2342184017
60	0.2320195312
61	0.2310872672
62	0.2292059617
63	0.2277923872
64	0.2264394388
65	0.2255930806
66	0.2248188347
67	0.2226011469
68	0.2221375146
69	0.2205279066
70	0.2196683499
71	0.2183553074
72	0.2173319963
73	0.2160048055
74	0.2147516107
75	0.2125840685
76	0.2119205403
77	0.2097037393
78	0.2091870963
79	0.2084964429
80	0.2078907916
81	0.2070557835
82	0.2057594496
83	0.2041225962
84	0.2024716889
85	0.2020584103
86	0.2005770892
87	0.2001350865
88	0.1993731629
89	0.1979233055
90	0.1969860582
91	0.1956960838
92	0.1949335996
93	0.1945355771
94	0.1939331067
95	0.1931998303
96	0.192556827
97	0.1913112841
98	0.1908527164
99	0.1899439285
100	0.1891600725
101	0.1887282124
102	0.1883319638
103	0.1877582669
104	0.1867737617
105	0.1862732011
106	0.1856734361
107	0.1849248229
108	0.1842079757
109	0.1839092735
110	0.1834656154
