iter	Passed	Remaining
0	333	166653
1	512	127597
2	698	115729
3	883	109554
4	1096	108585
5	1295	106648
6	1481	104340
7	1661	102197
8	1910	104228
9	2109	103347
10	2315	102935
11	2570	104546
12	2738	102588
13	2879	99974
14	3025	97810
15	3169	95882
16	3316	94238
17	3464	92783
18	3607	91320
19	3765	90373
20	3906	89109
21	4061	88252
22	4216	87453
23	4372	86720
24	4529	86068
25	4720	86054
26	4915	86112
27	5072	85507
28	5270	85592
29	5420	84923
30	5564	84190
31	5707	83468
32	5848	82770
33	5989	82092
34	6125	81381
35	6266	80773
36	6405	80158
37	6541	79534
38	6685	79031
39	6824	78481
40	6964	77972
41	7111	77554
42	7259	77148
43	7394	76636
44	7539	76229
45	7683	75829
46	7826	75432
47	7966	75020
48	8105	74599
49	8237	74137
50	8373	73720
51	8513	73351
52	8654	72991
53	8782	72535
54	8913	72116
55	9035	71639
56	9147	71094
57	9258	70555
58	9368	70026
59	9481	69532
60	9591	69024
61	9706	68568
62	9818	68102
63	9934	67675
64	10041	67202
65	10151	66757
66	10267	66353
67	10379	65941
68	10492	65543
69	10601	65123
70	10724	64800
71	10873	64639
72	11004	64368
73	11119	64013
74	11238	63685
75	11354	63345
76	11477	63051
77	11593	62723
78	11705	62381
79	11823	62075
80	11959	61862
81	12078	61571
82	12188	61237
83	12298	60908
84	12412	60602
85	12537	60355
86	12658	60092
87	12773	59805
88	12896	59555
89	13015	59294
90	13127	59002
91	13239	58712
92	13356	58454
93	13483	58238
94	13604	57998
95	13721	57742
96	13837	57491
97	13953	57239
98	14066	56978
99	14178	56712
100	14300	56492
101	14422	56274
102	14534	56021
103	14650	55785
104	14766	55548
105	14886	55332
106	14998	55087
107	15113	54854
108	15229	54629
109	15344	54403
110	15459	54178
111	15573	53949
112	15692	53741
113	15809	53531
114	15924	53311
115	16042	53107
116	16172	52940
117	16313	52813
118	16459	52698
119	16592	52542
120	16726	52391
121	16859	52235
122	16983	52054
123	17117	51903
124	17240	51720
125	17371	51563
126	17497	51390
127	17612	51184
128	17726	50981
129	17839	50774
130	17948	50556
131	18058	50343
132	18171	50143
133	18282	49935
134	18394	49734
135	18505	49528
136	18622	49343
137	18736	49150
138	18849	48953
139	18959	48753
140	19067	48547
141	19177	48348
142	19293	48165
143	19406	47977
144	19522	47795
145	19639	47618
146	19765	47463
147	19899	47328
148	20035	47198
149	20167	47056
150	20286	46888
151	20408	46725
152	20526	46553
153	20646	46386
154	20768	46226
155	20894	46076
156	21016	45914
157	21141	45762
158	21267	45611
159	21400	45476
160	21530	45333
161	21656	45183
162	21804	45081
163	21922	44913
164	22041	44750
165	22173	44613
166	22309	44485
167	22428	44322
168	22549	44164
169	22679	44025
170	22793	43853
171	22914	43697
172	23036	43543
173	23157	43387
174	23283	43241
175	23398	43074
176	23516	42915
177	23631	42748
178	23757	42603
179	23892	42474
180	24010	42317
181	24129	42160
182	24244	41997
183	24360	41836
184	24479	41681
185	24634	41586
186	24761	41446
187	24899	41322
188	25042	41206
189	25172	41071
190	25311	40948
