,period,ratio,title,category
0,2023-01-01,71.4278,패션의류,50000000
1,2023-02-01,70.49591,패션의류,50000000
2,2023-03-01,84.24824,패션의류,50000000
3,2023-04-01,73.24942,패션의류,50000000
4,2023-05-01,73.36678,패션의류,50000000
5,2023-06-01,63.8173,패션의류,50000000
6,2023-07-01,59.07263,패션의류,50000000
7,2023-08-01,55.69168,패션의류,50000000
8,2023-09-01,60.65819,패션의류,50000000
9,2023-10-01,86.44354,패션의류,50000000
10,2023-11-01,100.0,패션의류,50000000
11,2023-01-01,12.54976,가전,50000210
12,2023-02-01,12.31075,가전,50000210
13,2023-03-01,13.14113,가전,50000210
14,2023-04-01,11.57593,가전,50000210
15,2023-05-01,11.73157,가전,50000210
16,2023-06-01,11.13084,가전,50000210
17,2023-07-01,11.56233,가전,50000210
18,2023-08-01,11.02933,가전,50000210
19,2023-09-01,9.4643,가전,50000210
20,2023-10-01,10.21675,가전,50000210
21,2023-11-01,12.65865,가전,50000210
22,2023-01-01,32.7345,화장품/미용,50000002
23,2023-02-01,32.52026,화장품/미용,50000002
24,2023-03-01,36.25087,화장품/미용,50000002
25,2023-04-01,34.20287,화장품/미용,50000002
26,2023-05-01,33.78,화장품/미용,50000002
27,2023-06-01,32.19784,화장품/미용,50000002
28,2023-07-01,30.6771,화장품/미용,50000002
29,2023-08-01,31.24131,화장품/미용,50000002
30,2023-09-01,26.87774,화장품/미용,50000002
31,2023-10-01,30.66685,화장품/미용,50000002
32,2023-11-01,33.49242,화장품/미용,50000002
